iter	Passed	Remaining
0	0	67
1	1	63
2	1	60
3	2	57
4	3	57
5	3	57
6	4	55
7	4	54
8	5	54
9	5	52
10	6	52
11	6	51
12	7	50
13	8	49
14	8	48
15	9	48
16	9	47
17	10	46
18	10	45
19	11	45
20	11	44
21	12	44
22	13	43
23	13	43
24	14	42
25	14	42
26	15	41
27	16	41
28	16	40
29	17	40
30	17	39
31	18	39
32	18	38
33	19	37
34	20	37
35	20	36
36	21	36
37	21	35
38	22	35
39	23	34
40	23	34
41	23	32
42	24	32
43	25	31
44	25	31
45	26	30
46	26	30
47	27	29
48	27	29
49	28	28
50	29	27
51	29	27
52	30	27
53	31	26
54	31	25
55	32	25
56	32	24
57	33	24
58	33	23
59	34	23
60	35	22
61	35	21
62	36	21
63	36	20
64	37	20
65	38	19
66	38	19
67	39	18
68	39	17
69	40	17
70	40	16
71	41	16
72	42	15
73	42	15
74	43	14
75	43	13
76	44	13
77	45	12
78	45	12
79	46	11
80	46	10
81	47	10
82	47	9
83	48	9
84	49	8
85	49	8
86	50	7
87	51	6
88	51	6
89	52	5
90	52	5
91	53	4
92	53	4
93	54	3
94	55	2
95	55	2
96	56	1
97	56	1
98	57	0
99	58	0
