iter	Passed	Remaining
0	114	114580
1	115	57717
2	116	38728
3	117	29202
4	118	23491
5	118	19647
6	119	16912
7	119	14851
8	120	13244
9	120	11958
10	121	10906
11	121	10041
12	122	9301
13	123	8673
14	123	8121
15	124	7660
16	125	7240
17	125	6862
18	126	6525
19	126	6218
20	127	5942
21	128	5692
22	128	5464
23	129	5251
24	129	5060
25	130	4880
26	130	4719
27	131	4575
28	132	4432
29	133	4301
30	133	4175
31	134	4059
32	134	3947
33	135	3841
34	135	3741
35	136	3650
36	136	3562
37	137	3477
38	137	3396
39	138	3329
40	139	3259
41	139	3192
42	140	3126
43	141	3063
44	141	3004
45	142	2946
46	142	2891
47	143	2843
48	144	2795
49	144	2748
50	145	2710
51	146	2667
52	146	2623
53	147	2582
54	147	2541
55	148	2503
56	149	2465
57	149	2429
58	150	2393
59	150	2359
60	151	2327
61	151	2295
62	152	2264
63	153	2249
64	154	2220
65	154	2192
66	155	2170
67	156	2143
68	157	2119
69	157	2093
70	158	2068
71	158	2045
72	159	2021
73	160	2012
74	161	1990
75	161	1969
76	162	1947
77	163	1927
78	163	1907
79	164	1887
80	164	1869
81	165	1850
82	165	1829
83	166	1812
84	167	1800
85	167	1784
86	168	1770
87	169	1754
88	169	1739
89	170	1724
90	171	1708
91	171	1693
92	172	1678
93	172	1663
94	173	1649
95	173	1638
96	174	1626
97	175	1614
98	175	1600
99	176	1589
100	177	1576
101	177	1564
102	178	1552
103	178	1540
104	179	1529
105	179	1517
106	180	1506
107	182	1510
108	183	1500
109	184	1491
110	185	1482
111	185	1472
112	186	1463
113	186	1453
114	187	1442
115	188	1433
116	188	1423
117	189	1418
118	190	1411
119	191	1402
120	192	1394
121	192	1385
122	192	1376
123	193	1367
124	194	1359
125	194	1350
126	195	1341
127	195	1333
128	196	1327
129	197	1321
130	197	1313
131	198	1305
132	199	1297
133	199	1289
134	200	1282
135	200	1275
136	201	1267
137	201	1260
138	202	1253
139	203	1247
140	203	1240
141	204	1234
142	204	1228
143	205	1221
144	206	1214
145	206	1208
146	207	1201
147	207	1195
148	208	1189
149	208	1182
150	209	1176
151	210	1171
152	210	1165
153	211	1161
154	212	1157
155	212	1151
156	213	1145
157	213	1140
158	214	1134
159	215	1129
160	215	1122
161	216	1117
162	216	1112
163	217	1107
164	217	1102
165	218	1097
166	219	1095
167	220	1090
168	220	1085
169	221	1080
170	221	1075
171	222	1070
172	222	1065
173	223	1061
174	224	1056
175	224	1052
176	225	1047
177	225	1042
178	226	1040
179	227	1035
180	228	1031
181	228	1027
182	229	1023
183	229	1018
184	230	1014
185	230	1010
186	231	1006
187	232	1002
188	232	998
189	233	994
190	233	991
191	234	988
192	235	984
193	235	980
194	236	976
195	237	972
196	237	968
197	238	964
198	238	961
199	239	957
200	239	953
201	240	949
202	240	945
203	241	943
204	242	940
205	243	936
206	243	932
207	244	929
208	244	926
209	245	922
210	245	919
211	247	918
212	248	916
213	248	913
214	249	911
215	251	911
216	251	908
217	252	904
218	252	901
219	253	898
220	254	896
221	254	893
222	255	890
223	255	886
224	256	883
225	257	881
226	258	879
227	258	876
228	259	873
229	260	870
230	260	867
231	261	864
232	261	861
233	262	858
234	262	855
235	263	852
236	264	850
237	265	848
238	265	845
239	266	843
240	266	840
241	267	837
242	267	834
243	268	831
244	268	828
245	269	826
246	270	823
247	270	820
248	271	817
249	272	816
250	272	813
251	273	811
252	273	808
253	274	806
254	274	803
